,Regulatory Gene,Target Gene,weight
369,TCF7,MXD3,0.0193547087397187
370,FOXN3,THAP11,0.0193324821436117
371,ZNF184,ZNF574,0.0193106923599592
372,ZNF225,ZNF253,0.0192993842378015
373,ZNF318,LEF1,0.0192947750507682
374,HIVEP2,ATF4,0.0192876143928274
375,ZNF404,ZNF746,0.0192804564539873
376,RUNX1,HDX,0.0192746605562741
377,REPIN1,MAFB,0.0192501434189563
378,NFATC1,ELF1,0.0192490597378429
379,ETS1,CTCF,0.0192140956295176
380,SP110,THAP4,0.0192096361058831
381,SP110,ARID5A,0.0191969979638753
382,E2F5,ZBED5,0.0191938794328383
383,ZNF14,MAFB,0.0191867454455153
384,ZNF800,ZNF791,0.0191862467786852
385,NR4A3,RARA,0.0191811103135174
386,ZNF43,MTERF2,0.0191646763941576
387,LYL1,DMTF1,0.01915658602298
388,KLF10,IRF2,0.0191449497605819
389,SP110,ZFHX3,0.0191333264673452
390,ZNF281,EGR3,0.0191256168756705
391,ZKSCAN1,MLXIP,0.0191106115108138
392,BACH1,NR4A2,0.0191053281880221
393,ZNF337,RXRA,0.0191025866106818
394,MYBL2,KLF13,0.0190998012112477
395,ATF2,GLI4,0.019099606893669
396,POU2F1,KLF6,0.0190559374107067
397,ZSCAN5A,ZNF273,0.0190532048076531
398,ZNF217,FOXN2,0.0190458558767968
399,ARID2,ZNF480,0.0189983949704502
400,SAFB,ZHX2,0.0189975740805099
401,ETS1,PPARA,0.0189760989274839
402,ATF2,ATF6B,0.018967949898324
403,ZNF574,ZBTB4,0.018967871127734
404,SREBF1,HMGA1,0.01896396261748
405,E2F1,SPIB,0.0189595665118521
406,HIVEP1,ZNF860,0.0189595621213343
407,ZBTB7B,FLI1,0.0189169726938241
408,NCOA3,TP73,0.0189126784433645
409,ZNF212,IRF2,0.0189099744672584
410,ZKSCAN1,ZNF280D,0.0189026838049026
411,ZNF568,NFIC,0.0188806674155756
412,BCL6,BACH1,0.0188567701912624
413,ZNF787,STAT1,0.018853273821098
414,DRAP1,ZXDB,0.0188214744625172
415,KLF10,PBX2,0.0188148630817029
416,JAZF1,IRF1,0.0187881716931504
417,ZNF217,SAFB,0.0187806135830855
418,ZNF841,KCMF1,0.0187787905619988
419,ZNF585B,NR1D2,0.0187755070039096
420,ETS1,ZNF592,0.018774053425808
421,ZNF710,IRF2,0.0187740531895841
422,NFAT5,ZNF101,0.0187730416364086
423,MBNL2,ZBTB1,0.0187706545031812
424,RARG,FLI1,0.01876176768648
425,CEBPZ,ZNF23,0.0187516252663413
426,NME2,EGR2,0.0187376286939698
427,YBX1,ZBTB1,0.0187130570361504
428,ZNF292,ZNF473,0.0187071104262878
429,ZNF382,ZNF571,0.0187026953994417
430,NCOA1,AHRR,0.0186987916220477
431,ZNF852,ZNF202,0.0186925249161173
432,ZKSCAN1,TET3,0.0186751066928911
433,IKZF1,STAT1,0.0186718942861225
434,ZBTB32,MAFG,0.0186585547168519
435,CGGBP1,ZNF264,0.0186497172592644
436,NCOA3,ARNTL,0.0186331904048715
437,CEBPD,CSRNP1,0.0186222543109931
438,TSC22D1,NCOA3,0.0186042157751936
439,CLOCK,IRF4,0.0185955679359673
440,ZFP82,ZNF746,0.0185865911733914
441,NFYB,SATB1,0.0185624421891777
442,CEBPZ,ZNF805,0.0185525319183747
443,ZNF740,HDX,0.0185370576706854
444,ZNF318,MBD1,0.0185367732423679
445,ANKZF1,ZNF154,0.0185204437286224
446,MYSM1,TFAP2E,0.0185116650835437
447,RBCK1,MAFG,0.0185053399838347
448,ZFP91,HSF5,0.0184682295030855
449,NFIL3,NFKB2,0.0184404082354281
450,ZNF426,MBD2,0.0184339126031159
451,MXD1,E2F7,0.0183966187350483
452,SP110,ZBTB40,0.018394243810948
453,ZNF569,AHR,0.018392314898229
454,RELB,SRF,0.0183580643637957
455,THAP7,FAM200B,0.0183505774878587
456,ZSCAN22,ZNF493,0.0183431322293499
457,GZF1,ZNF385A,0.0183428011188096
458,ZNF292,SGSM2,0.0183423332714329
459,FLI1,RELB,0.0183054536151141
460,JUNB,NR4A1,0.0183044293269734
461,ZNF419,KLF8,0.0183014877708775
462,ZNF689,ZNF503,0.0182898739669989
463,ZBTB7B,DDIT3,0.0182751406927121
464,MAFG,EGR3,0.0182695254577932
465,ZNF266,E2F6,0.0182630072375878
466,ZXDC,NCOA3,0.0182567677402709
467,SP140,CSRNP1,0.0182247601655096
468,KLF11,ZNF627,0.0182182212997134
469,ZNF75A,ZNF551,0.0182168444375368
470,ELF2,MBNL2,0.0182130600950508
471,NFATC3,ZNF503,0.0182026375371187
472,ZBTB7A,CREB3L2,0.0181792531306674
473,MAF,ZNF101,0.0181788486111824
474,ZBTB10,KLF10,0.0181695450227557
475,ZNF551,IRF7,0.0181582743185957
476,ZNF800,ELK3,0.018154432676173
477,LYL1,DNTTIP1,0.0181530469824802
478,ZNF24,TMF1,0.0181480915586593
479,ZNF436,ATF6B,0.0181463809375226
480,ZNF507,ZNF440,0.0181405411567277
481,GMEB2,HIVEP1,0.0181392888648454
482,ETS1,ZBTB18,0.0181233772464585
483,ZBTB22,ZNF821,0.0181222839891799
484,ZNF404,NFKB1,0.0181177974576106
485,ZNF197,ZNF18,0.0181079125642669
486,CEBPA,ETS2,0.0181020463801614
487,ZSCAN12,ADNP,0.0180819847214236
488,SNAPC5,PLAGL2,0.0180742961472258
489,ELK1,KDM5B,0.0180659933658253
490,ZNF793,ZNF660,0.0180645579464458
491,ZNF396,AKNA,0.0180580689978731
492,GTF2IRD2,ZBTB49,0.0180506615250458
493,RFX3,GFI1,0.0180491460275065
494,FIZ1,ZNF445,0.0180422489903616
495,GTF2I,MYSM1,0.0180421357898354
496,ZKSCAN1,PRR12,0.0180270856194753
497,ZNF101,ZNF503,0.0180227329612428
498,ZNF383,ELF1,0.0180095091516059
499,JUNB,NR4A3,0.0179926440094058
500,HBP1,NR2F6,0.0179813750995907
501,ZNF296,FOS,0.0179743730247391
502,ATF2,ZNF580,0.017972893333652
503,RXRA,PRDM2,0.0179557838060673
504,ZNF107,ZNF296,0.0179535163136787
505,ARHGAP35,ZNF790,0.017950018099306
506,PATZ1,PRMT3,0.0179481023161865
507,ZNF770,ATF3,0.0179458207205715
508,LYL1,ZBTB25,0.0179275858592328
509,CXXC5,YBX1,0.0179220367327863
510,ZNF596,ZFP28,0.0178981430522544
511,MYBL2,IRF2,0.0178885072111082
512,ZSCAN12,ZNF672,0.0178768139418608
513,ZNF266,ZIK1,0.0178754980734685
514,REPIN1,MYCL,0.0178713254202338
515,FOS,JUNB,0.0178614194675114
516,DMTF1,MBD6,0.0178541069697167
517,ZHX2,SAFB,0.0178330079350394
518,ZNF280D,ZNF107,0.0178299760270059
519,BCL6,NR3C1,0.0178086147378351
520,IRF1,ZNF207,0.017804639914997
521,GLMP,ZSCAN25,0.0177955597270612
522,ZNF43,RLF,0.0177634729348533
523,ZNF668,ZFP37,0.0177621425958601
524,FEZF2,ZNF587B,0.0177597867845289
525,ZNF646,ZNF486,0.0177344315903123
526,NCOA2,HMBOX1,0.0177343891017738
527,TBX19,NFKB2,0.0177295874763909
528,NCOA1,SNAPC5,0.0177212906002777
529,GTF2IRD2,ZNF7,0.0177193732331023
530,HSF5,ZNF667,0.0177038980462925
531,MBNL2,ZNF667,0.0176862915946475
532,ZBTB43,SMAD4,0.0176840411191214
533,MAF,KLF8,0.0176746804703617
534,KDM5B,ZNF414,0.0176737607798577
535,HIVEP1,FOXO1,0.0176708737921598
536,ZNF79,TCF7L2,0.0176642032032987
537,GPBP1,TCFL5,0.0176635728925935
538,NCOA3,HMGA1,0.0176615612535342
539,ZNF266,EGR3,0.0176575537462051
540,ZNF574,E2F6,0.0176548718451725
541,IRF1,THRA,0.01765018213225
542,FOXJ2,ZNF142,0.0176439231168556
543,KLF2,IRF4,0.0176350288672674
544,CHCHD3,ZFP64,0.0176313514786836
545,EGR1,PRR12,0.0176260326222545
546,CSRNP1,NR4A2,0.0176246825627935
547,E2F5,KLF3,0.0176246379700833
548,ZNF674,ZNF501,0.017606676900993
549,ZNF7,ZBTB49,0.017606137469757
550,NCOA1,ZNF768,0.0176010830638999
551,SNAPC5,ZNF428,0.017580544033284
552,AKNA,ARID5B,0.0175788122801959
553,ATF4,CREB3L2,0.0175779318832813
554,BHLHE40,IRF2,0.0175476362168661
555,ATF6,SNAPC2,0.0175350523515121
556,NFX1,FOS,0.0175289218241299
557,E2F1,AHR,0.0175162263184078
558,E2F1,BCL6,0.0175023338461286
559,ZNF407,ZNF24,0.0174987972043085
560,ATF5,MAFB,0.0174916983046426
561,ZNF624,ZBED3,0.0174856388470573
562,LEF1,TCF3,0.0174639577199578
563,ZEB1,GATAD2B,0.0174510487921544
564,VEZF1,TCFL5,0.0174475061678301
565,ZNF416,ZNF410,0.017447250290904
566,NR4A1,RELA,0.0174434809914311
567,ZNF318,ZNF737,0.0174293417366776
568,NR4A3,FLI1,0.0174203124778338
569,E2F5,ZNF395,0.0174182236420527
570,ZNF540,NR1H3,0.0174097843518561
571,ZNF770,ZFP2,0.0174059276196307
572,RBPJ,ZNF266,0.0174042943564891
573,ZNF665,RXRA,0.0174025554345249
574,ZEB1,ZHX2,0.0173881444578521
575,ZFP2,ZBTB4,0.0173790172116506
576,SNAPC5,ZNF451,0.017364369926202
577,STAT6,SKI,0.017353245064525
578,FLI1,CEBPB,0.0173515842861583
579,ZNF700,MYCN,0.0173416976409778
580,HIVEP1,SREBF2,0.0173326771593688
581,ZNF682,ZNF814,0.0173282768973459
582,USF1,ZKSCAN8,0.0173252412338964
583,ZBTB7B,ELF4,0.0173215568905266
584,SETBP1,HESX1,0.0173197910175185
585,ZNF43,AHRR,0.0173188210412884
586,THAP7,THAP4,0.0173140187297661
587,IKZF3,ZNF439,0.0173088138261329
588,MGA,TCF4,0.0173071909425094
589,DRAP1,AHR,0.0173023069447398
590,ARID5A,STAT1,0.0172998804541517
591,ZNF217,ZNF350,0.0172980023731328
592,LYL1,ARID5B,0.0172890206630262
593,ZNF551,POU2AF1,0.017284435713115
594,AEBP1,NR1D2,0.0172842924413453
595,ZNF800,ZBTB21,0.0172839268209983
596,ZNF668,ZNF18,0.0172777628631425
597,NFKB1,BATF3,0.0172747071279437
598,LCORL,ZNF383,0.0172641199284692
599,ELF2,ZNF549,0.0172616869188741
600,MXD1,PPARD,0.0172590885683752
601,MEF2B,CSRNP1,0.0172525873212521
602,ZNF439,ZBTB7A,0.0172499144468315
603,CREB3L2,ZNF274,0.0172386286998265
604,ZNF302,ZNF570,0.0172146779296786
