"","regulatory.gene","target.gene","weight"
"402","MXD4","TFE3",0.0188931824093161
"403","ZNF85","ZNF280B",0.018892812277789
"404","KLF12","ZNF358",0.0188908618160659
"405","HIF1A","SETDB2",0.018884875966726
"406","ZNF792","TCF7L2",0.0188839434660484
"407","ZNF668","PRDM10",0.0188758897834605
"408","MEF2B","ETS1",0.0188681536398098
"409","NCOA3","ZNF275",0.0188622073822574
"410","ZNF222","THAP2",0.0188525711135058
"411","NME2","E2F2",0.0188384205931948
"413","ZFP69B","XBP1",0.0188205281199668
"414","ZNF487","NFYA",0.0187763026685885
"415","KDM2A","E2F2",0.0187730043599055
"416","RELA","CENPA",0.0187166879682841
"418","ZNF718","ZNF32",0.0187006865935547
"419","MBD6","GATAD2B",0.018696870754089
"420","RELB","ZNF706",0.018677793671935
"421","NR4A1","RELA",0.0186752156850798
"422","ZNF804A","STAT5B",0.0186632149937264
"423","ZNF354A","ZNF595",0.0186627581120016
"424","MYB","ARID5A",0.0186593001259495
"425","ETS2","AHR",0.0186563064065854
"426","ZBTB48","HOXB3",0.0186555445785501
"427","ZNF280D","NFX1",0.0186532219632658
"428","SKIL","TCFL5",0.0186507792306054
"429","ZNF280D","ATF4",0.0186460099679537
"430","CREB3L2","HMGA1",0.018629522979858
"431","ETS1","ZNF544",0.0186223674297521
"432","RARA","ATF5",0.0186208886282364
"433","CEBPB","REXO4",0.018619673950709
"434","ZEB1","VENTX",0.0186118771066518
"435","MAFF","SP100",0.0185874049674714
"436","DR1","L3MBTL3",0.0185672998847391
"437","ZNF620","ZNF101",0.0185670195507085
"438","ZNF623","ZKSCAN7",0.0185650379066539
"439","MEF2C","SP1",0.0185612114017193
"440","ZNF248","ZNF318",0.0185563963434509
"441","MAFB","AHR",0.0185499837033321
"442","NME2","ZNF484",0.0185316492752628
"443","ARID5B","NKX6-3",0.0185259426396714
"444","HIVEP2","ZBED4",0.0185190943142204
"445","ZBED3","HIF1A",0.0185155141077231
"447","ZNF101","ZKSCAN2",0.0184998775746244
"448","ZNF761","CAMTA1",0.0184982741823249
"449","ZNF32","ZNF394",0.0184965427793547
"450","MLXIP","E2F7",0.0184464093360563
"451","ZNF761","ZNF831",0.0184452871111992
"452","ZBTB44","MTF1",0.018433921497731
"455","CREM","VENTX",0.0184095151028252
"456","CTCF","PATZ1",0.0183838411449517
"457","MBD4","ATF5",0.0183789931254352
"458","REPIN1","VENTX",0.0183780227219076
"459","PBX2","CEBPB",0.018361041913199
"460","BAZ2A","ZNF367",0.0183563415364546
"461","THAP4","ZNF449",0.0183544727442845
"462","NCOA2","YY1",0.0183436274504468
"463","ZNF429","RELB",0.0183390577046981
"464","ZNF620","ZBTB10",0.0183331689931495
"466","ZNF518A","SLC2A4RG",0.0183073144830757
"467","ZNF101","SREBF1",0.0183021785650874
"468","ZNF100","SNAPC5",0.0182931610746523
"469","CSRNP1","AHR",0.0182929339461544
"470","ZIK1","ZNF714",0.0182922421521829
"471","ZNF225","ATF2",0.0182614589942734
"473","ATF2","ZNF394",0.0182516269327767
"474","GATAD2B","ZNF787",0.0182486043342485
"475","MXD1","TCF7L2",0.0182127913181933
"476","ZNF814","ZNF45",0.0182095640852077
"477","ZNF639","DMTF1",0.0182022434685828
"478","ZBED4","ZNF480",0.0181986874844932
"479","CREM","MAF",0.0181933644792067
"480","ETS1","THAP7",0.0181848649471613
"481","ZNF354A","GLYR1",0.0181750283821497
"482","MEF2C","ZNF24",0.0181613190525741
"483","PURA","PHF1",0.0181523275721324
"484","ZNF212","YBX1",0.0181415639911864
"485","ZNF737","AEBP1",0.0181176589499204
"486","ZNF687","FOXM1",0.0181108780295223
"487","NME2","ZNF554",0.0181054265383152
"488","ZNF165","ZNF860",0.0180964040050994
"489","ZNF141","ZNF610",0.0180958277325646
"490","SP140","BCL6",0.0180916658594971
"491","EGR3","CREBL2",0.0180894383988058
"492","ZNF76","HOXB2",0.0180878666668932
"493","ZNF274","GPBP1",0.0180806066342888
"494","ZNF233","ANKZF1",0.018053439696062
"495","ZBTB7B","ZNF629",0.0180407270381568
"496","E2F7","ZNF581",0.0180252924145431
"497","ZNF718","CHAMP1",0.0180239651170971
"499","ZNF554","DBP",0.0180123967290797
"500","NFATC2","ZNF581",0.0180032207864422
"501","ZNF713","PHF21A",0.0179957083340747
"502","ZNF718","FOXJ3",0.0179854977796296
"503","ZNF174","RLF",0.0179803911529159
"504","ZNF675","KDM2A",0.0179780305057254
"505","MEF2C","NFAT5",0.0179775152099513
"506","ZNF174","ZNF701",0.0179773737461411
"507","E2F4","ZSCAN25",0.0179568452818767
"508","ADNP","MYCN",0.0179485105803597
"509","TP53","ZNF669",0.0179460421258969
"510","POU2AF1","E2F2",0.0179429071928948
"511","ZNF487","MTF1",0.0179419509212998
"512","ZNF248","STAT2",0.0179247379823305
"513","DRAP1","ZNF860",0.0178906099407378
"514","IRF8","ZIK1",0.0178833903213559
"515","MEF2C","SRCAP",0.0178675200912963
"516","SP140","RELA",0.0178449891464598
"517","SP110","ZBTB38",0.0178384627293937
"518","HIC2","BAZ2B",0.017820165354082
"521","SKI","CENPA",0.0177978854788464
"522","ZNF737","RELB",0.0177937008476958
"523","NFYB","BATF3",0.0177909274593206
"524","SNAPC5","ZNF652",0.0177886568788884
"526","HIC2","PRR12",0.017785960725939
"527","ATF5","SP1",0.0177838993315565
"528","ZNF568","ZBTB1",0.0177821464471727
"529","ATMIN","CSRNP2",0.0177706316624175
"530","PIN1","ZNF781",0.0177659472347809
"531","LCORL","ZNF540",0.017763778624076
"533","ZNF174","ZNF524",0.0177568473531399
"534","ZNF181","GCM1",0.0177279846564784
"535","ETS1","ATF4",0.017724234867018
"536","ZNF225","HSF1",0.0177002268752895
"537","JUNB","CENPB",0.0176992561509441
"538","ZNF530","ZNF134",0.0176910184476376
"539","ZNF391","ZNF496",0.0176771915402834
"540","ZNF335","ZMAT1",0.0176727587220659
"541","RELB","NFKB2",0.0176680176543742
"542","ETS2","GLMP",0.0176672844842118
"543","ZEB1","NFX1",0.0176309605315095
"544","ETS1","SP8",0.0176301434316895
"545","NFYB","TCF7",0.017617467909785
"546","ZNF804A","FOXJ2",0.0176111187651733
"547","MAFB","ZNF860",0.0176083521409451
"548","ZNF410","IRF2",0.017606288893797
"549","MEF2C","ARNT",0.0176052189134206
"550","ZNF165","SREBF1",0.0175920407031529
"551","ETS1","ZNF680",0.0175900708516559
"552","NRL","ZBTB39",0.017569694519479
"553","ZNF16","RORA",0.0175563264915464
"554","ZNF830","FOXO1",0.0175450552568771
"555","ZNF718","ATF4",0.0175431362179206
"556","JUNB","ZNF768",0.0175181366223232
"557","IRF9","BCL6",0.0175128183440333
"558","ETS1","THAP4",0.0175124854957252
"559","JUNB","RBCK1",0.0175117064744666
"560","ZNF280D","ZNF831",0.0174998507443744
"561","ZNF24","MYBL1",0.0174950649149447
"563","ZNF24","ZNF559",0.0174768287304545
"564","ZNF43","YY1",0.0174727890854148
"565","ZNF562","ZNF319",0.0174583832411867
"566","ZNF76","ZNF280B",0.0174576500310835
"567","HIVEP1","FLI1",0.0174528469890129
"568","SKIL","CEBPA",0.0174518645434009
"569","JUN","GTF2IRD1",0.0174443126873298
"570","ZNF202","HOXB2",0.0174439080685115
"573","ZNF419","ARNT",0.0174331162225486
"574","POU2F2","TBPL1",0.0174035151116376
"575","ZNF823","ZNF841",0.0174020160821262
"576","ZNF574","KLF13",0.0174005812976668
"577","IKZF3","ZNF414",0.0173963563036966
"578","ZNF217","YBX3",0.0173942727562811
"579","ZNF860","EGR3",0.0173922250605378
"580","KLF8","ZNF335",0.0173848046880251
"581","ARID5A","TEF",0.0173816351621774
"582","MEF2C","ZFP91",0.017336755885581
"583","ADNP","NFE2L2",0.0173357175627858
"584","RARG","HIVEP1",0.0173238027460522
"585","ZNF718","ZNF428",0.0173201113500926
"586","RBPJ","PATZ1",0.0173197032169129
"587","ZNF354C","TCF7",0.0173169311367629
"588","ZNF718","ZNF675",0.0173163293977708
"589","ZNF675","SP1",0.0173145523795332
"590","HIF1A","ZBTB39",0.0173123641408658
"591","ETV3","NR1D1",0.0173119223234403
"593","CEBPD","ZNF101",0.0172758268665084
"594","PRDM2","CEBPA",0.0172726092773088
"595","ZNF205","PLAGL1",0.0172704563983839
"596","ZNF675","PHF21A",0.0172675287281796
"597","ZNF558","ZNF140",0.0172635796509785
